"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AFFX-r2-Ec-bioC-3_at",1.12962126862704,9.75294332583649,5.95300656615547,1.35394670992071e-06,5.8612063630178e-05,5.28788185676666
"208268_at",1.0003234214784,5.79414069028935,5.94321645178747,1.39242693080408e-06,5.97574116496961e-05,5.2606860916089
"206804_at",1.07072343465637,8.27757550226702,5.93051478515008,1.44399622520405e-06,6.13922967441922e-05,5.22539582391116
"223266_at",1.28840787097824,8.5099519890411,5.91530689160191,1.50827572034091e-06,6.34834295686214e-05,5.1831327216984
"1558185_at",1.03109277124027,4.11421766483401,5.90807427431016,1.53984859432776e-06,6.43172054200688e-05,5.16302952810173
"232204_at",1.21589642449965,5.35293843508355,5.89341556021951,1.60589345124548e-06,6.64162060868735e-05,5.12227844356432
"238430_x_at",1.32466587417341,9.5996047913356,5.89253780015786,1.60993744512376e-06,6.65331291097063e-05,5.11983798905136
"243780_at",1.49352793189452,7.90147228033605,5.89188349522961,1.61295860511147e-06,6.65869452908182e-05,5.1180187903785
"225041_at",1.03430626378554,8.30495522782703,5.88975133400534,1.6228431856833e-06,6.67992040788089e-05,5.11209050471829
"212827_at",1.86982793041325,9.24450226018457,5.87528021184464,1.69156011672585e-06,6.89679712020774e-05,5.07184983691963
"202124_s_at",1.15054547236916,8.03520950680707,5.87197974100037,1.70763811755152e-06,6.93648692995018e-05,5.06267082738026
"236439_at",2.32471073446742,6.13101351550564,5.87004512774279,1.71713380489417e-06,6.95954712991761e-05,5.05729022816398
"209771_x_at",1.72772683556588,7.80359866957856,5.85318453643369,1.80217195358421e-06,7.2238820793414e-05,5.01039076248741
"211022_s_at",1.30015415000831,4.19744081474662,5.84459980056976,1.84708445141615e-06,7.34467944590386e-05,4.98650715500095
"210479_s_at",1.03779865706823,6.44208518809835,5.82894057198113,1.9319276093162e-06,7.61558342028575e-05,4.94293435333193
"214352_s_at",1.09047733994205,9.09358384442916,5.79716123647674,2.11635016181594e-06,8.09170944736268e-05,4.8544787258808
"208610_s_at",1.64888673039124,8.35275021704834,5.79181477814442,2.14907216437495e-06,8.16542881078528e-05,4.83959372941195
"209254_at",1.19018879802947,6.03874925985255,5.78436544298721,2.19551407772054e-06,8.28431554170951e-05,4.81885252555124
"1558662_s_at",1.21315032030676,8.74722136749051,5.78273791616125,2.20579420254801e-06,8.30657254848681e-05,4.81432075029822
"208900_s_at",1.03144154653202,6.54842017433908,5.76254323222774,2.33744944164707e-06,8.64290769343777e-05,4.75808234300311
"223984_s_at",1.43493918633254,6.0979312892464,5.75253257369656,2.40561102662875e-06,8.86299076017028e-05,4.73019971775996
"215936_s_at",1.19302420687983,8.39655638834637,5.74881150892325,2.43145349847213e-06,8.91019348014429e-05,4.71983466902671
"239571_at",1.91264907090034,4.57317016388279,5.74433964458999,2.46287951344368e-06,8.981078171986e-05,4.70737770640078
"229586_at",1.26707669194349,6.85351923611381,5.73889599713082,2.50168600923172e-06,9.06425994398569e-05,4.69221290445812
"203038_at",1.14534463866827,4.90747111277797,5.73846163398844,2.50480882044923e-06,9.06956438795109e-05,4.69100282652503
"237813_at",1.09300089879979,4.4768741424768,5.73803112157814,2.50790781146236e-06,9.07253976078057e-05,4.68980347071668
"210448_s_at",1.20634838230202,8.69341834509205,5.72288460070459,2.61942502196279e-06,9.40361543505027e-05,4.64760365167109
"204713_s_at",1.09850322996511,7.18389220802369,5.7217275936771,2.62814561271009e-06,9.42873106134672e-05,4.64437983697013
"AFFX-r2-Ec-bioC-5_at",1.10120832017495,9.33038574950507,5.71924462032169,2.6469588462521e-06,9.47136615960953e-05,4.63746130260832
"214433_s_at",2.0075531219654,5.1530793439956,5.70721010807741,2.74007764657314e-06,9.70214836213751e-05,4.60392603256865
"236307_at",1.28218395998902,7.25297517579237,5.69888260755237,2.80643228479409e-06,9.85495730064977e-05,4.58071840218135
"205544_s_at",1.14500789315202,5.93336518944013,5.67310682228304,3.0222210608399e-06,0.000104318141730696,4.50887346168278
"216550_x_at",1.17905742293821,6.51597889616075,5.6699692036275,3.04960132070751e-06,0.000105064242098099,4.50012685145508
"235388_at",1.33632439690274,4.0896293936686,5.65660744423082,3.16901840883692e-06,0.000108300642375621,4.46287625422641
"229399_at",1.0229346905313,4.54327536673421,5.6368935077561,3.35383313720347e-06,0.000113261783061519,4.40790947686562
"219073_s_at",1.47585161509988,6.02450519864771,5.61542053999912,3.56747140177111e-06,0.000119151801400022,4.34802901275885
"236495_at",1.19935646345917,4.26853862065186,5.61026757791183,3.62073933169409e-06,0.000120150822598509,4.3336579160359
"208993_s_at",1.13797697685852,8.35304165785692,5.60701377167328,3.65478540334926e-06,0.000120822611782897,4.32458312461987
"242916_at",1.43278785899305,5.93032407289298,5.59621246343884,3.77012451297807e-06,0.000123580070591772,4.29445717509025
"225640_at",1.17151109291001,9.21197541576256,5.58424119239592,3.9022288440574e-06,0.00012684563736554,4.26106576936029
"210746_s_at",1.60878617925994,5.33521404329285,5.5632437140898,4.1452542320036e-06,0.00013284980957491,4.20249220763446
"209376_x_at",1.02890916252359,8.29257542909289,5.55543829957121,4.2394160844066e-06,0.000135172783395973,4.1807169840458
"209258_s_at",1.08973162734735,6.3574263000203,5.5474954839639,4.33743811181271e-06,0.000137557673296613,4.15855761908326
"1566428_at",1.34219334653481,3.79246966401729,5.54114282623146,4.4174695296767e-06,0.0001391426698112,4.14083400839442
"243054_at",1.03093424834806,5.38707060417628,5.54110633826966,4.41793346000151e-06,0.0001391426698112,4.1407322073241
"236620_at",1.97402303718664,5.38939987507976,5.53526855955226,4.49279131848487e-06,0.000140769836870006,4.12444465949278
"210432_s_at",1.17794731751814,3.93464711801183,5.53251476272792,4.52854346247048e-06,0.000141475091040005,4.11676136302422
"240960_at",1.15320576898908,5.20620042647147,5.5317449925309,4.5385881972413e-06,0.000141475091040005,4.11461363228242
"219667_s_at",1.35041586554553,8.28911308166527,5.528936810972,4.57542195063927e-06,0.000142541991539146,4.10677848870091
"216563_at",1.58870730755733,5.12599661286862,5.50578910358847,4.89068614293459e-06,0.000149551602273461,4.04219075235294
"214052_x_at",1.02499099072795,5.35553283455388,5.46976518155025,5.42519216877902e-06,0.000162800429104277,3.94166664946495
"239655_at",1.62320534506854,4.74622773503411,5.4693660476431,5.43143106701511e-06,0.000162857990995061,3.94055282890129
"219158_s_at",1.10766374723154,6.65834800827231,5.44833097987638,5.77061069998244e-06,0.000170914485385449,3.88185154105601
"231735_s_at",1.3144713884255,8.78682261284234,5.44736164654392,5.7867423660676e-06,0.000171278364693555,3.87914644374722
"211560_s_at",2.10232772659119,6.89312163409335,5.44712488368868,5.79068943907555e-06,0.000171278364693555,3.87848571443262
"205033_s_at",2.80550255692413,9.16319811664057,5.44295772871176,5.86060325110948e-06,0.000172830896847039,3.8668564953171
"242774_at",1.49185792822563,5.43185938237503,5.41027409611384,6.43909621205132e-06,0.000185782366962483,3.77564592673655
"240105_at",1.22426295376257,5.4761056838043,5.35664098917476,7.51491315797166e-06,0.000209845698116497,3.62597530955138
"1554676_at",1.6188227701771,8.80520648706524,5.35473618428086,7.55626582143307e-06,0.000210679534160388,3.62065993530754
"227223_at",1.15200825268006,8.56217211752909,5.35080961460178,7.64223036084791e-06,0.000212316537083008,3.60970288637891
"210172_at",1.20034147087947,6.62303897768536,5.34933890018153,7.67468014317206e-06,0.000213001592298443,3.60559890192709
"220068_at",1.17084672167486,6.20915227412388,5.33906824578926,7.90516818210212e-06,0.000217630951841104,3.57693940355401
"201867_s_at",1.56907407656486,6.71836358655699,5.33577440747888,7.98054377002642e-06,0.000219143020269108,3.56774837247641
"228556_at",1.12823234687522,4.27539809987998,5.32470431859928,8.23917954358106e-06,0.000224901218944231,3.53685942664316
"207655_s_at",1.05354065035616,7.72621674763081,5.32370332209347,8.26297578048308e-06,0.000225173363173046,3.53406639634502
"235372_at",1.29509251014524,7.6745042518403,5.32341924896626,8.26974144035621e-06,0.000225173363173046,3.53327376316683
